                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4626,                 4.8886,                 3.3733,                 1.4574,                0.00543,                0.61979,                0.02831,                0.01531,                0.00494,                0.56027,                0.02842,                0.01318,                 1.1165,                 2.9536,                 3.1416,                  1.281,             0.00010002,             0.00010002,             0.00010002
                      2,                0.96658,                 3.0095,                 2.8615,                  1.198,                0.00571,                0.67932,                0.48423,                0.38622,                0.00581,                0.69122,                0.48559,                0.33415,                0.97446,                 2.1025,                 2.8429,                 1.1103,             0.00021628,             0.00021628,             0.00021628
                      3,                0.91707,                 1.9054,                 1.7976,                 1.1558,                0.00516,                0.60264,                0.52791,                0.35617,                0.00516,                0.60264,                0.52812,                0.36461,                 1.1378,                 1.9344,                 2.7386,                 1.1199,             0.00033208,             0.00033208,             0.00033208
                      4,                0.92006,                 1.6027,                 1.5073,                 1.1176,                      1,                0.18013,                0.59014,                0.48871,                      1,                0.18013,                0.56845,                0.47452,                0.93781,                 1.9816,                 2.5496,                 1.0925,             0.00044742,             0.00044742,             0.00044742
                      5,                   0.88,                 1.4627,                 1.4297,                 1.1081,                 0.6825,                0.58408,                0.56272,                0.49155,                 0.6825,                0.58408,                0.57167,                0.45273,                0.94044,                 1.6901,                 2.6127,                0.99482,             0.00056229,             0.00056229,             0.00056229
                      6,                0.86811,                 1.3806,                 1.2878,                 1.0791,                0.81596,                0.58055,                0.54568,                0.43234,                0.68765,                0.53749,                0.51127,                0.35264,                  1.204,                 2.0304,                 2.1894,                 1.1031,              0.0006767,              0.0006767,              0.0006767
                      7,                0.88297,                 1.3185,                 1.2274,                 1.0749,                0.82983,                0.56473,                0.55075,                0.43959,                0.82983,                0.56473,                 0.6005,                0.38261,                 1.1781,                 2.5495,                 1.9434,                 1.1559,             0.00079065,             0.00079065,             0.00079065
                      8,                0.83961,                   1.23,                 1.2045,                 1.0676,                0.90489,                0.58036,                0.59693,                0.48102,                0.94401,                 0.5913,                0.64386,                0.46674,                 1.1579,                 1.8766,                 1.9486,                 1.1396,             0.00090414,             0.00090414,             0.00090414
                      9,                0.86311,                 1.3517,                  1.183,                 1.0681,                0.99627,                0.57988,                0.61777,                0.47409,                0.98318,                0.59903,                0.63312,                0.42192,                 1.1469,                 1.8289,                 1.6301,                 1.2134,              0.0010172,              0.0010172,              0.0010172
                     10,                0.81606,                 1.2893,                  1.126,                 1.0762,                0.94482,                0.59419,                0.60941,                0.42972,                0.90199,                0.60434,                0.64119,                 0.4298,                   1.21,                 1.8691,                 1.6601,                 1.2727,              0.0011297,              0.0011297,              0.0011297
                     11,                0.87417,                 1.2109,                  1.087,                 1.0541,                0.72706,                0.57736,                0.59124,                0.45186,                 0.7664,                0.60508,                0.63797,                0.46865,                 1.1954,                  1.847,                 1.9634,                 1.1128,              0.0012418,              0.0012418,              0.0012418
                     12,                0.86514,                 1.1862,                 1.0825,                 1.0701,                0.66696,                0.50595,                0.53666,                0.34031,                0.66424,                0.57664,                0.57999,                0.36215,                 1.6126,                 2.2085,                 2.1213,                 1.4097,              0.0013535,              0.0013535,              0.0013535
                     13,                0.85811,                 1.2394,                  1.068,                 1.0626,                0.63839,                0.48661,                0.53498,                 0.2603,                0.77179,                0.47019,                0.53951,                0.29789,                 2.0162,                 1.7377,                 2.0993,                 1.8464,              0.0014647,              0.0014647,              0.0014647
                     14,                0.82109,                 1.2707,                 1.0293,                 1.0378,                0.72916,                0.53832,                0.53705,                0.22919,                0.72117,                0.57664,                0.52142,                0.25106,                 2.0786,                 1.7364,                 2.1945,                 2.4388,              0.0015754,              0.0015754,              0.0015754
                     15,                0.87215,                 1.3212,                 1.1035,                 1.0697,                0.75945,                0.56101,                0.63082,                0.39092,                0.85056,                0.50721,                0.60768,                0.35367,                 1.5501,                 1.9372,                 1.6267,                 1.7779,              0.0016208,              0.0016208,              0.0016208
                     16,                0.87765,                 1.2246,                 1.0904,                 1.0933,                0.81337,                 0.5876,                0.66816,                0.47743,                0.81337,                 0.5876,                0.66274,                0.44947,                 1.1971,                 1.8887,                  1.465,                 1.1382,              0.0016175,              0.0016175,              0.0016175
                     17,                0.87997,                  1.127,                 1.1091,                 1.0597,                0.75659,                0.52852,                0.57502,                0.28407,                0.71124,                0.55729,                0.55801,                  0.289,                 1.6187,                 2.0247,                 1.9654,                 1.4222,              0.0016142,              0.0016142,              0.0016142
                     18,                0.83838,                 1.1623,                 1.0251,                 1.0241,                0.63586,                0.55804,                0.47102,                0.26276,                0.63586,                0.55804,                0.47988,                0.22881,                 1.6765,                 2.2454,                 2.5417,                  1.599,              0.0016109,              0.0016109,              0.0016109
                     19,                0.77519,                 1.1618,                0.94246,                 1.0262,                 0.8735,                0.62789,                0.74488,                0.41643,                0.85976,                0.61294,                0.68269,                0.35034,                 1.5511,                 2.0875,                 1.6537,                 1.6379,              0.0016076,              0.0016076,              0.0016076
                     20,                0.82171,                 1.3137,                 0.9835,                 1.0486,                0.85408,                0.64419,                0.74878,                0.48162,                0.88052,                0.61835,                0.73398,                0.42004,                  1.466,                 1.8732,                  1.449,                 1.6827,              0.0016043,              0.0016043,              0.0016043
                     21,                0.83022,                 1.2498,                0.98619,                 1.0647,                0.86107,                0.65941,                0.74062,                0.45381,                0.87517,                0.65427,                0.73439,                0.40653,                 1.5584,                 1.8844,                 1.4526,                 1.9416,               0.001601,               0.001601,               0.001601
                     22,                0.80981,                  1.043,                0.95192,                 1.0372,                0.90885,                0.67443,                0.75279,                0.47032,                0.90885,                0.67443,                0.73002,                0.41486,                 1.4775,                 2.0752,                 1.3433,                 1.7267,              0.0015977,              0.0015977,              0.0015977
                     23,                0.79428,                 1.0437,                0.89018,                 1.0257,                0.85668,                0.73037,                0.76532,                0.59351,                0.84624,                0.71503,                 0.7663,                0.51932,                 1.0231,                 2.1789,                 1.1526,                 1.1391,              0.0015944,              0.0015944,              0.0015944
                     24,                0.77689,                0.88732,                0.91772,                   1.04,                0.92467,                0.73884,                0.78035,                0.64425,                0.95188,                0.69874,                0.75649,                0.55371,                0.93301,                 2.1186,                 1.0355,                 1.0932,              0.0015911,              0.0015911,              0.0015911
                     25,                 0.7741,                0.96982,                0.84626,                 1.0184,                0.90661,                0.70269,                 0.7684,                0.64329,                0.95931,                0.65551,                0.72234,                0.56127,                0.84991,                  1.932,                 1.0145,                  1.012,              0.0015878,              0.0015878,              0.0015878
                     26,                0.76183,                 1.1085,                0.86181,                 1.0248,                0.95584,                0.66698,                0.73563,                0.59877,                0.97398,                 0.6754,                0.72717,                0.56145,                0.94097,                 1.9225,                 1.1818,                 1.0713,              0.0015845,              0.0015845,              0.0015845
                     27,                0.78692,                 1.0538,                 0.8542,                 1.0257,                0.91881,                0.66741,                0.77381,                0.62037,                0.91881,                0.66741,                0.74571,                0.52972,                 0.9388,                 1.6257,                 1.0994,                0.97018,              0.0015812,              0.0015812,              0.0015812
                     28,                0.78857,                 1.0781,                 0.8556,                 1.0491,                0.84998,                0.62285,                0.76979,                0.59677,                 0.8549,                0.62162,                0.72417,                0.48575,                0.99653,                 1.6608,                 1.8614,                0.95091,              0.0015779,              0.0015779,              0.0015779
                     29,                 0.7974,                 1.1016,                0.85256,                 1.0234,                0.88515,                0.63868,                0.73803,                0.58302,                0.87138,                0.61853,                0.69446,                0.49469,                0.97417,                 1.6483,                 1.7103,                0.96881,              0.0015746,              0.0015746,              0.0015746
                     30,                0.77872,                 1.0089,                0.88946,                 1.0531,                0.67216,                 0.5933,                0.63339,                0.41731,                0.66352,                0.37262,                0.39614,                0.19669,                 1.2549,                 4.7586,                 1.7082,                  1.195,              0.0015713,              0.0015713,              0.0015713
                     31,                0.76024,                 1.0673,                0.83331,                 1.0218,                0.85259,                0.65997,                0.79938,                0.64984,                0.79865,                0.62382,                0.68072,                0.34172,                0.95109,                 2.6591,                 1.2468,                0.93068,               0.001568,               0.001568,               0.001568
                     32,                0.77093,                 1.0471,                0.82535,                  1.013,                0.94284,                0.70153,                 0.8103,                0.62453,                0.88391,                0.69062,                0.74848,                0.47907,                0.97013,                 1.8955,                 1.2542,                 1.0888,              0.0015647,              0.0015647,              0.0015647
                     33,                0.76158,                 1.0308,                0.81934,                 1.0333,                0.95698,                0.69878,                0.81379,                0.65061,                 0.9349,                0.67932,                 0.7597,                0.52971,                0.84877,                 1.7567,                 1.1867,                 1.0328,              0.0015614,              0.0015614,              0.0015614
